severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/services/metricsService.test.js,280,javascript:S7764,Prefer `globalThis` over `global`.,2min,2026-05-17T18:07:55+0000,2026-05-17T18:07:55+0000,AZ43KZWJmJyaFL6eZEy-
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:routes/metrics_routes.py,363,python:S8572,"Use ""logging.exception()"" instead.",5min,2026-05-17T17:58:06+0000,2026-05-17T17:58:06+0000,AZ43Hl9kL63nvjzRy9nc
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:engines/soar_playbook_worker.py,79,python:S3776,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,13min,2026-05-17T17:51:26+0000,2026-05-17T17:51:33+0000,AZ43GSxRcT_hZbQTugaf
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:engines/soar_playbook_worker.py,186,python:S8572,"Use ""logging.exception()"" instead.",5min,2026-05-17T17:51:26+0000,2026-05-17T17:51:33+0000,AZ43GSxRcT_hZbQTugag
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/App.test.js,29,javascript:S6774,'userRole' is missing in props validation,5min,2026-05-17T16:47:36+0000,2026-05-17T16:47:36+0000,AZ423MyUBrFcw9uEIkb0
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,112,javascript:S7735,Unexpected negated condition.,2min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBL
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,114,javascript:S7735,Unexpected negated condition.,2min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBM
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,158,javascript:S6582,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBN
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,196,javascript:S6774,'label' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBO
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,196,javascript:S6774,'value' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBP
