severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1154,javascript:S6774,'attempt.mode' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPmw
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1157,javascript:S6774,'attempt.status' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPmx
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1161,javascript:S6774,'attempt.correlation_id' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPmy
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1162,javascript:S6774,'attempt.adapter_name' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPmz
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1163,javascript:S6774,'attempt.action' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm0
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1166,javascript:S6774,'attempt.circuit_breaker_state' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm1
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1170,javascript:S6774,'attempt.timeout_seconds' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm2
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1172,javascript:S6774,'attempt.requested_at' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm3
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1173,javascript:S6774,'attempt.started_at' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm4
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1174,javascript:S6774,'attempt.completed_at' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm5
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1175,javascript:S6774,'attempt.created_at' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm6
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1176,javascript:S6774,'attempt.failure_code' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm7
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1177,javascript:S6774,'attempt.failure_code' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm8
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1179,javascript:S6774,'attempt.failure_message' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm9
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1182,javascript:S6774,'attempt.failure_message' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPm-
